date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:16	372537/372537	---MCZ	200	added ('OK')	text/html	etag:W/%228151bceb8bc966779fa64e4609debbf5%22	https://osem.seagl.org/conferences/seagl2021/schedule	D:/seagl/seagl-schedule/osem.seagl.org/conferences/seagl2021/schedule.html	(from )
14:07:16	99/99	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20Sep%202022%2020:54:35%20GMT	https://osem.seagl.org/robots.txt		(from )
14:07:16	320098/320098	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jun%202022%2023:48:18%20GMT	https://osem.seagl.org/assets/application-6e4075274905bc4d487222d993520d9e8245a04156ba45d83b5fb014e61b05dc.css	D:/seagl/seagl-schedule/osem.seagl.org/assets/application-6e4075274905bc4d487222d993520d9e8245a04156ba45d83b5fb014e61b05dc.css	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:16	3056114/3056114	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Sep%202022%2022:28:04%20GMT	https://osem.seagl.org/assets/application-db5163d8993fa2353167517a17af204f2a37e7db1a3490a4f24129f55de8adf2.js	D:/seagl/seagl-schedule/osem.seagl.org/assets/application-db5163d8993fa2353167517a17af204f2a37e7db1a3490a4f24129f55de8adf2.js	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:17	68665/68665	---MCZ	200	added ('OK')	text/html	etag:W/%223ea6d04227ad1becc16f751163bd9352%22	https://osem.seagl.org/conferences/seagl2021/schedule/events	D:/seagl/seagl-schedule/osem.seagl.org/conferences/seagl2021/schedule/events.html	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:17	5629/5629	---MCZ	200	added ('OK')	text/html	etag:W/%22e6486c0fd535354f68717cf5e42543b8%22	https://osem.seagl.org/conferences/seagl2021/program/proposals/869	D:/seagl/seagl-schedule/osem.seagl.org/conferences/seagl2021/program/proposals/869.html	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:17	1258/1258	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Jan%201984%2008:00:00%20GMT	https://secure.gravatar.com/avatar/9af4a47df179525225a7fd9524cf1fd4.png?r=PG&s=32	D:/seagl/seagl-schedule/secure.gravatar.com/avatar/9af4a47df179525225a7fd9524cf1fd48314.jpg	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:18	5750/5750	---MCZ	200	added ('OK')	text/html	etag:W/%22788eb89caf2f403ceec0264d7b753e83%22	https://osem.seagl.org/conferences/seagl2021/program/proposals/865	D:/seagl/seagl-schedule/osem.seagl.org/conferences/seagl2021/program/proposals/865.html	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:18	1258/1258	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Jan%201984%2008:00:00%20GMT	https://secure.gravatar.com/avatar/82dc51302bf89a2af990211d043b0022.png?r=PG&s=32	D:/seagl/seagl-schedule/secure.gravatar.com/avatar/82dc51302bf89a2af990211d043b00228314.jpg	(from https://osem.seagl.org/conferences/seagl2021/schedule)
14:07:18	5637/5637	---MCZ	200	added ('OK')	text/html	etag:W/%22f9043762eec665984a0ca7eae30e4ae3%22	https://osem.seagl.org/conferences/seagl2021/program/proposals/871	D:/seagl/seagl-schedule/osem.seagl.org/conferences/seagl2021/program/proposals/871.html	(from https://osem.seagl.org/conferences/seagl2021/schedule)
